Date,Description,Debit,Credit,Balance
01-Apr-2024,Salary Credit ACME Tech Solutions,0,120000,120000
02-Apr-2024,SIP Investment HDFC Flexi Cap Fund,5000,0,115000
03-Apr-2024,House Rent Payment Apr UPI,22000,0,93000
05-Apr-2024,LIC Premium EMI Auto Debit,4500,0,88500
05-Apr-2024,PPF Deposit SBI Branch,5000,0,83500
07-Apr-2024,IRCTC Booking Train Ticket,1200,0,82300
10-Apr-2024,Amazon Shopping Order,3200,0,79100
12-Apr-2024,Swiggy Food Order,650,0,78450
15-Apr-2024,HDFC Home Loan EMI,18000,0,60450
17-Apr-2024,Medplus Pharmacy,850,0,59600
20-Apr-2024,Electricity Bill BESCOM,1800,0,57800
22-Apr-2024,Mobile Recharge Jio,699,0,57101
25-Apr-2024,UBER Cab Ride,420,0,56681
28-Apr-2024,Netflix Subscription,649,0,56032
30-Apr-2024,Transfer to Savings Account IMPS,10000,0,46032
01-May-2024,Salary Credit ACME Tech Solutions,0,120000,166032
02-May-2024,SIP Investment HDFC Flexi Cap Fund,5000,0,161032
03-May-2024,House Rent Payment May UPI,22000,0,139032
05-May-2024,NPS Tier I Contribution,4000,0,135032
07-May-2024,ELSS Investment Axis Long Term Equity,10000,0,125032
10-May-2024,Flipkart Order,2800,0,122232
12-May-2024,Zomato Food,780,0,121452
14-May-2024,HDFC Home Loan EMI,18000,0,103452
18-May-2024,Apollo Hospital Bill,2500,0,100952
22-May-2024,Airtel Broadband,999,0,99953
24-May-2024,Myntra Shopping,1600,0,98353
28-May-2024,UPI Transfer to SB Account,12000,0,86353
01-Jun-2024,Salary Credit ACME Tech Solutions,0,125000,211353
02-Jun-2024,SIP Investment HDFC Flexi Cap Fund,5000,0,206353
03-Jun-2024,House Rent Payment Jun UPI,22000,0,184353
06-Jun-2024,Star Health Insurance Premium,8500,0,175853
10-Jun-2024,HDFC Home Loan EMI,18000,0,157853
12-Jun-2024,Amazon Order Electronics,6500,0,151353
15-Jun-2024,Swiggy Instamart Groceries,1200,0,150153
18-Jun-2024,Ola Cab,350,0,149803
20-Jun-2024,BSNL Landline,450,0,149353
22-Jun-2024,Reliance Fresh Grocery,2300,0,147053
25-Jun-2024,Self Assessment Tax Challan,5000,0,142053
28-Jun-2024,Fixed Deposit ICICI Bank,25000,0,117053
01-Jul-2024,Salary Credit ACME Tech Solutions,0,125000,242053
02-Jul-2024,SIP Investment HDFC Flexi Cap Fund,5000,0,237053
03-Jul-2024,House Rent Payment Jul UPI,22000,0,215053
08-Jul-2024,HDFC Home Loan EMI,18000,0,197053
12-Jul-2024,Swiggy Food,900,0,196153
14-Jul-2024,LIC Premium,4500,0,191653
18-Jul-2024,BigBazaar Shopping,3500,0,188153
20-Jul-2024,Uber,550,0,187603
22-Jul-2024,Electricity Bill,1900,0,185703
25-Jul-2024,Jio Recharge,699,0,185004
28-Jul-2024,Amazon Prime,1499,0,183505
30-Jul-2024,Transfer to Savings IMPS,15000,0,168505
01-Aug-2024,Salary Credit ACME Tech Solutions,0,125000,293505
02-Aug-2024,SIP Investment HDFC Flexi Cap Fund,5000,0,288505
03-Aug-2024,House Rent Payment Aug UPI,22000,0,266505
08-Aug-2024,HDFC Home Loan EMI,18000,0,248505
10-Aug-2024,Nykaa Order,1800,0,246705
12-Aug-2024,Zomato,600,0,246105
15-Aug-2024,ELSS Investment Mirae Asset Tax Saver,5000,0,241105
18-Aug-2024,Apollo Pharmacy,1100,0,240005
22-Aug-2024,Tata Sky DTH,450,0,239555
25-Aug-2024,Ola Auto,200,0,239355
28-Aug-2024,NPS Tier I Contribution,5000,0,234355
01-Sep-2024,Salary Credit ACME Tech Solutions,0,130000,364355
02-Sep-2024,SIP Investment HDFC Flexi Cap Fund,5000,0,359355
03-Sep-2024,House Rent Payment Sep UPI,22000,0,337355
08-Sep-2024,HDFC Home Loan EMI,18000,0,319355
10-Sep-2024,Swiggy Food,750,0,318605
15-Sep-2024,PPF Deposit SBI,6000,0,312605
18-Sep-2024,Amazon Order,4200,0,308405
20-Sep-2024,Electricity Bill,2000,0,306405
22-Sep-2024,Mobile Recharge Jio,699,0,305706
25-Sep-2024,Reliance Fresh,1800,0,303906
28-Sep-2024,Transfer to Savings IMPS,20000,0,283906
